NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,Purling Hiss,3000 AD -High Bias,,,,187,2
BAGeL Radio,A,White Violet,4 AM,,,,74,1
BAGeL Radio,A,FIDLAR,40 oz On Repeat,,,,114,1
BAGeL Radio,A,FIDLAR,40 oz On Repeat -Too,,,,147,1
BAGeL Radio,A,Death Cab For Cutie,405 (Acoustic),,,,224,2
BAGeL Radio,A,Death Cab For Cutie,405 (Acoustic) -Forbidden Love E.P.,,,,91,1
BAGeL Radio,A,Oil Boom,45 Revolutions Per Minute,,,,150,1
BAGeL Radio,A,X,4th Of July,,,,99,1
BAGeL Radio,A,X,"4th Of July (John Doe produced demo, 1986)",,,,103,1
BAGeL Radio,A,House of Wolves,50's -Fold in the Wind,,,,121,1
BAGeL Radio,A,Las Rosas,5000 Hits -Everyone Gets Exactly What They Want,,,,156,1
BAGeL Radio,A,Terrene,51 -The Indifferent Universe,,,,145,1
BAGeL Radio,A,Sneaker Pimps,6 Underground,,,,95,1
BAGeL Radio,A,Sneaker Pimps,6 Underground -Becoming X,,,,337,2
BAGeL Radio,A,1000 Lights,666 Miles to Memphis -Häxan,,,,119,1
BAGeL Radio,A,R.E.M.,7 Chinese Bros.,,,,505,4
BAGeL Radio,A,R.E.M.,7 Chinese Bros. -Reckoning,,,,181,1
BAGeL Radio,A,Apples In Stereo,7 Stars -New Magnetic Wonder,,,,176,1
BAGeL Radio,A,kole&#380;anka,7th st/ 7th ave,,,,455,4
BAGeL Radio,A,koleżanka,7th st/ 7th ave,,,,351,4
BAGeL Radio,A,kole&#380;anka,7th st/ 7th ave -Place Is,,,,171,1
BAGeL Radio,A,koleżanka,7th st/ 7th ave -Place Is,,,,140,1
BAGeL Radio,A,Ghastly Menace,80s,,,,96,1
BAGeL Radio,A,Bent Shapes,86'd In '03 -Wolves of Want,,,,114,1
BAGeL Radio,A,The Glad Version,89.3,,,,67,1
BAGeL Radio,A,The Glad Version,89.3 -Make Islands,,,,112,1
BAGeL Radio,A,Lady Sovereign,9 To 5,,,,130,1
BAGeL Radio,A,Dry Heeves,90's Prom Song,,,,157,1
BAGeL Radio,A,Butterfly Bones,<3,,,,97,1
BAGeL Radio,A,Carnivores,A  Crime,,,,47,1
BAGeL Radio,A,Tim Kasher,A Bluer Sea -Bigamy: More Songs From The Monogamy Sessions,,,,147,1
BAGeL Radio,A,Robert Pollard,A Boy In Motion -From A Compound Eye,,,,109,1
BAGeL Radio,A,Mudhoney,A Brief Celebration of Indifference -Under a Billion Suns,,,,108,1
BAGeL Radio,A,Peter Von Poehl,A Broken Skeleton Key,,,,156,1
BAGeL Radio,A,Heroes Of Popular Wars,A Bus Called Further,,,,136,1
BAGeL Radio,A,Tom Vek,A Chore -Leisure Seizure,,,,190,1
BAGeL Radio,A,Sharon Van Etten,A Crime -Epic,,,,118,1
BAGeL Radio,A,All Sensory Void,A Day in a Day Dream,,,,128,1
BAGeL Radio,A,Elliott Smith,A Distorted Reality Is Now A Necessity To Be Free -From A Basement On The Hill,,,,108,1
BAGeL Radio,A,Rykarda Parasol,A Drinking Song -For Blood and Wine,,,,84,1
BAGeL Radio,A,Papercuts,A Dull Boy,,,,1055,9
BAGeL Radio,A,Tangled Heart [EP],A Dull Boy  - Papercuts,,,,511,3
BAGeL Radio,A,Papercuts,A Dull Boy -Tangled Heart [EP],,,,933,7
BAGeL Radio,A,The Cure,A Few Hours After This... -Join The Dots: B-Sides & Rarities 1978-2001 (Disc 1),,,,94,1
BAGeL Radio,A,Malka,A Flock Of Crows -The Constant State,,,,174,1
BAGeL Radio,A,Elliott Smith,A Fond Farewell,,,,133,1
BAGeL Radio,A,Elliott Smith,A Fond Farewell -From A Basement On The Hill,,,,324,2
BAGeL Radio,A,The Cure,A Forest -Seventeen Seconds,,,,117,1
BAGeL Radio,A,Edwyn Collins,A Girl Like You (LP Version) -Gorgeous George,,,,160,1
BAGeL Radio,A,The Phantom Band,A Glamour,,,,67,1
BAGeL Radio,A,Sugar,A Good Idea -Copper Blue,,,,107,1
BAGeL Radio,A,James Husband,A Grave In The Gravel -A Parallax I,,,,75,1
BAGeL Radio,A,Fontaines D.C.,A Hero's Death (Radio Mix),,,,377,4
BAGeL Radio,A,Fontaines D.C.,A Hero's Death (Radio Mix) -A Hero's Death,,,,323,2
BAGeL Radio,A,Chemtrails,A Killer or a Punchline,,,,150,1
BAGeL Radio,A,Chemtrails,A Killer or a Punchline -Calf Of The Sacred Cow,,,,115,1
BAGeL Radio,A,Modest Mouse,A Life Of Arctic Sounds -Slaying Since 1996,,,,114,1
BAGeL Radio,A,Juliana Hatfield,A Little More Love,,,,138,1
BAGeL Radio,A,Les Big Byrd,A Little More Numb (tedit),,,,81,1
BAGeL Radio,A,Conor Oberst,A Little Uncanny -Ruminations,,,,97,1
BAGeL Radio,A,The Regrettes,A Living Human Girl -Feel Your Feelings Fool!,,,,174,2
BAGeL Radio,A,Steve Mason,A Lot Of Love,,,,81,1
BAGeL Radio,A,Estocar,A Lot of Dust Kicked Up,,,,54,1
