NAME OF SERVICE,TRANSMISSION CATEGORY,FEATURED ARTIST,SOUND RECORDING TITLE,ALBUM TITLE,MARKETING LABEL,ISRC,ACTUAL TOTAL PERFORMANCES,PLAY FREQUENCY
BAGeL Radio,A,At the Movies II,Call Me  - SWIIMS,,,,237,2
BAGeL Radio,A,SWIIMS,Call Me -At the Movies II,,,,519,5
BAGeL Radio,A,Deaf Wish,Calypso -Pain,,,,105,1
BAGeL Radio,A,Local Natives,Camera Talk -Gorilla Manor,,,,181,1
BAGeL Radio,A,Dandelion,Can I Leave Me Too?  - The Greeting Committee,,,,217,2
BAGeL Radio,A,The Greeting Committee,Can I Leave Me Too? -Dandelion,,,,319,4
BAGeL Radio,A,Car Seat Headrest,Can't Cool Me Down -Making a Door Less Open,,,,174,1
BAGeL Radio,A,Charlatans UK,Can't Even Be Bothered -Between 10th And 11th,,,,525,4
BAGeL Radio,A,Vivian Girls,Can't Get Over You -Everything Goes Wrong,,,,107,1
BAGeL Radio,A,Cymbals,"Candy Bar -Sideways, Sometimes",,,,127,1
BAGeL Radio,A,TR/ST,Candy Walls -TRST,,,,103,1
BAGeL Radio,A,The Cars,Candy-O -Candy-O,,,,106,1
BAGeL Radio,A,The Breeders,Cannonball -Last Splash,,,,180,1
BAGeL Radio,A,Comfort To Me,Capital  - Amyl and The Sniffers,,,,232,2
BAGeL Radio,A,Amyl and The Sniffers,Capital -Comfort To Me,,,,489,5
BAGeL Radio,A,Mr. Gnome,Capsize -Madness in Miniature,,,,110,1
BAGeL Radio,A,Parquet Courts,Captive Of The Sun -Human Performance,,,,122,1
BAGeL Radio,A,CRAWLER,Car Crash  - IDLES,,,,207,2
BAGeL Radio,A,IDLES,Car Crash -CRAWLER,,,,304,3
BAGeL Radio,A,Parenthetical Girls,Careful Who You Dance With -Privilege (Abridged),,,,126,1
BAGeL Radio,A,The Paranoyds,Carnage Bargain -Carnage Bargain,,,,80,1
BAGeL Radio,A,LKFFCT,Carnivorous Sweater (Killer Threads) -Cayenne [EP],,,,132,1
BAGeL Radio,A,Momma,Carny -Two Of Me,,,,192,2
BAGeL Radio,A,Blue Bell Knoll,Carolyn's Fingers  - Cocteau Twins,,,,228,2
BAGeL Radio,A,Cocteau Twins,Carolyn's Fingers -Blue Bell Knoll,,,,236,3
BAGeL Radio,A,The Grates,"Carve Your Name -Teeth Lost, Hearts Won",,,,177,2
BAGeL Radio,A,FACS,Casual Indifference -Void Moments,,,,86,1
BAGeL Radio,A,Broken Social Scene,Cause=Time -You Forgot it in People,,,,118,1
BAGeL Radio,A,The Chameleons,Caution (tedit) -Strange Times,,,,104,1
BAGeL Radio,A,Sebadoh,Celebrate The Void -Act Surprised,,,,112,1
